Observation    Measured       Simulated      Weight          Residual   Sensitive
Date20040420  7.000000E-02  2.385340E-01  1.000000E+00  -1.685340E-01      YES
Date20040421  1.000000E-01  2.287840E-01  1.000000E+00  -1.287840E-01      YES
Date20040422  1.000000E-01  2.013270E-01  1.000000E+00  -1.013270E-01      YES
Date20040423  1.000000E-01  1.712720E-01  1.000000E+00  -7.127200E-02      YES
Date20040424  1.000000E-01  1.533730E-01  1.000000E+00  -5.337300E-02      YES
Date20040425  1.000000E-01  1.615320E-01  1.000000E+00  -6.153200E-02      YES
Date20040426  1.000000E-01  1.800180E-01  1.000000E+00  -8.001800E-02      YES
Date20040427  7.000000E-02  1.713630E-01  1.000000E+00  -1.013630E-01      YES
Date20040428  7.000000E-02  1.507710E-01  1.000000E+00  -8.077100E-02      YES
Date20040429  7.000000E-02  1.328250E-01  1.000000E+00  -6.282500E-02      YES
Date20040430  7.000000E-02  1.150840E-01  1.000000E+00  -4.508400E-02      YES
Date20040501  7.000000E-02  1.001650E-01  1.000000E+00  -3.016500E-02      YES
Date20040502  7.000000E-02  8.917720E-02  1.000000E+00  -1.917720E-02      YES
Date20040503  1.000000E-01  8.918540E-02  1.000000E+00  +1.081460E-02      YES
Date20040504  1.300000E-01  1.174920E-01  1.000000E+00  +1.250800E-02      YES
Date20040505  1.000000E-01  1.521210E-01  1.000000E+00  -5.212100E-02      YES
Date20040506  2.000000E-01  1.681430E-01  1.000000E+00  +3.185700E-02      YES
Date20040507  4.000000E-01  2.983060E-01  1.000000E+00  +1.016940E-01      YES
Date20040508  2.900000E-01  4.848150E-01  1.000000E+00  -1.948150E-01      YES
Date20040509  2.400000E-01  4.944500E-01  1.000000E+00  -2.544500E-01      YES
Date20040510  2.400000E-01  4.541250E-01  1.000000E+00  -2.141250E-01      YES
Date20040511  2.900000E-01  6.047780E-01  1.000000E+00  -3.147780E-01      YES
Date20040512  6.100000E-01  8.105620E-01  1.000000E+00  -2.005620E-01      YES
Date20040513  5.600000E-01  8.200150E-01  1.000000E+00  -2.600150E-01      YES
Date20040514  5.200000E-01  7.774820E-01  1.000000E+00  -2.574820E-01      YES
Date20040515  4.000000E-01  7.823610E-01  1.000000E+00  -3.823610E-01      YES
Date20040516  5.200000E-01  7.839030E-01  1.000000E+00  -2.639030E-01      YES
Date20040517  4.600000E-01  8.141910E-01  1.000000E+00  -3.541910E-01      YES
Date20040518  4.600000E-01  7.810290E-01  1.000000E+00  -3.210290E-01      YES
Date20040519  4.000000E-01  7.127420E-01  1.000000E+00  -3.127420E-01      YES
Date20040520  3.400000E-01  6.652360E-01  1.000000E+00  -3.252360E-01      YES
Date20040521  3.400000E-01  6.082490E-01  1.000000E+00  -2.682490E-01      YES
Date20040522  3.400000E-01  5.620140E-01  1.000000E+00  -2.220140E-01      YES
Date20040523  4.000000E-01  5.376060E-01  1.000000E+00  -1.376060E-01      YES
Date20040524  5.200000E-01  5.712120E-01  1.000000E+00  -5.121200E-02      YES
Date20040525  4.000000E-01  6.111940E-01  1.000000E+00  -2.111940E-01      YES
Date20040526  3.400000E-01  5.880850E-01  1.000000E+00  -2.480850E-01      YES
Date20040527  3.400000E-01  5.586410E-01  1.000000E+00  -2.186410E-01      YES
Date20040528  2.900000E-01  5.339230E-01  1.000000E+00  -2.439230E-01      YES
Date20040529  2.900000E-01  4.869670E-01  1.000000E+00  -1.969670E-01      YES
Date20040530  2.900000E-01  4.400850E-01  1.000000E+00  -1.500850E-01      YES
Date20040531  2.400000E-01  3.952300E-01  1.000000E+00  -1.552300E-01      YES
Date20040601  2.400000E-01  3.528570E-01  1.000000E+00  -1.128570E-01      YES
Date20040602  2.400000E-01  3.203750E-01  1.000000E+00  -8.037500E-02      YES
Date20040603  2.000000E-01  2.961410E-01  1.000000E+00  -9.614100E-02      YES
Date20040604  2.000000E-01  2.731490E-01  1.000000E+00  -7.314900E-02      YES
Date20040605  2.000000E-01  2.475820E-01  1.000000E+00  -4.758200E-02      YES
Date20040606  2.000000E-01  2.317700E-01  1.000000E+00  -3.177000E-02      YES
Date20040607  1.600000E-01  2.138280E-01  1.000000E+00  -5.382800E-02      YES
Date20040608  1.600000E-01  1.799750E-01  1.000000E+00  -1.997500E-02      YES
Date20040609  1.000000E-01  1.437540E-01  1.000000E+00  -4.375400E-02      YES
Date20040610  1.000000E-01  1.121090E-01  1.000000E+00  -1.210900E-02      YES
Date20040611  1.000000E-01  8.528630E-02  1.000000E+00  +1.471370E-02      YES
Date20040612  1.600000E-01  1.047280E-01  1.000000E+00  +5.527200E-02      YES
Date20040613  1.600000E-01  1.947810E-01  1.000000E+00  -3.478100E-02      YES
Date20040614  1.300000E-01  2.574140E-01  1.000000E+00  -1.274140E-01      YES
Date20040615  1.000000E-01  2.378720E-01  1.000000E+00  -1.378720E-01      YES
Date20040616  1.000000E-01  2.152990E-01  1.000000E+00  -1.152990E-01      YES
Date20040617  1.000000E-01  2.063050E-01  1.000000E+00  -1.063050E-01      YES
Date20040618  1.000000E-01  1.886600E-01  1.000000E+00  -8.866000E-02      YES
Date20040619  7.000000E-02  1.747100E-01  1.000000E+00  -1.047100E-01      YES
Date20040620  7.000000E-02  1.547800E-01  1.000000E+00  -8.478000E-02      YES
Date20040621  7.000000E-02  1.281220E-01  1.000000E+00  -5.812200E-02      YES
Date20040622  7.000000E-02  1.052950E-01  1.000000E+00  -3.529500E-02      YES
Date20040623  5.000000E-02  8.822090E-02  1.000000E+00  -3.822090E-02      YES
Date20040624  7.000000E-02  8.015500E-02  1.000000E+00  -1.015500E-02      YES
Date20040625  5.000000E-02  7.092110E-02  1.000000E+00  -2.092110E-02      YES
Date20040626  5.000000E-02  5.145520E-02  1.000000E+00  -1.455200E-03      YES
Date20040627  1.000000E-01  3.422550E-02  1.000000E+00  +6.577450E-02      YES
Date20040628  1.300000E-01  2.606420E-02  1.000000E+00  +1.039358E-01      YES
Date20040629  1.000000E-01  2.112250E-02  1.000000E+00  +7.887750E-02      YES
Date20040630  7.000000E-02  1.578860E-02  1.000000E+00  +5.421140E-02      YES
Date20040701  7.000000E-02  1.106190E-02  1.000000E+00  +5.893810E-02      YES
Date20040702  1.300000E-01  9.032960E-03  1.000000E+00  +1.209670E-01      YES
Date20040703  1.000000E-01  8.210960E-03  1.000000E+00  +9.178904E-02      YES
Date20040704  1.000000E-01  6.786870E-03  1.000000E+00  +9.321313E-02      YES
Date20040705  1.000000E-01  5.748800E-03  1.000000E+00  +9.425120E-02      YES
Date20040706  7.000000E-02  1.730220E-02  1.000000E+00  +5.269780E-02      YES
Date20040707  3.000000E-02  3.579500E-02  1.000000E+00  -5.795000E-03      YES
Date20040708  1.600000E-01  3.212960E-02  1.000000E+00  +1.278704E-01      YES
Date20040709  7.100000E-01  4.101150E-02  1.000000E+00  +6.689885E-01      YES
Date20040710  2.400000E-01  7.056750E-02  1.000000E+00  +1.694325E-01      YES
Date20040711  1.600000E-01  6.807130E-02  1.000000E+00  +9.192870E-02      YES
Date20040712  1.300000E-01  5.433420E-02  1.000000E+00  +7.566580E-02      YES
Date20040713  2.000000E-01  6.002190E-02  1.000000E+00  +1.399781E-01      YES
Date20040714  1.300000E-01  7.433040E-02  1.000000E+00  +5.566960E-02      YES
Date20040715  1.300000E-01  7.761610E-02  1.000000E+00  +5.238390E-02      YES
Date20040716  1.000000E-01  6.426130E-02  1.000000E+00  +3.573870E-02      YES
Date20040717  7.000000E-02  4.784330E-02  1.000000E+00  +2.215670E-02      YES
Date20040718  7.000000E-02  3.297910E-02  1.000000E+00  +3.702090E-02      YES
Date20040719  5.000000E-02  2.142350E-02  1.000000E+00  +2.857650E-02      YES
Date20040720  5.000000E-02  1.216730E-02  1.000000E+00  +3.783270E-02      YES
Date20040721  7.000000E-02  2.898160E-02  1.000000E+00  +4.101840E-02      YES
Date20040722  1.300000E-01  6.548660E-02  1.000000E+00  +6.451340E-02      YES
Date20040723  1.300000E-01  8.959930E-02  1.000000E+00  +4.040070E-02      YES
Date20040724  7.000000E-02  1.098200E-01  1.000000E+00  -3.982000E-02      YES
Date20040725  5.000000E-02  1.016510E-01  1.000000E+00  -5.165100E-02      YES
Date20040726  7.000000E-02  7.590910E-02  1.000000E+00  -5.909100E-03      YES
Date20040727  1.000000E-01  8.274960E-02  1.000000E+00  +1.725040E-02      YES
Date20040728  5.000000E-02  1.042120E-01  1.000000E+00  -5.421200E-02      YES
Date20040729  5.000000E-02  1.035590E-01  1.000000E+00  -5.355900E-02      YES
Date20040730  3.000000E-02  8.148800E-02  1.000000E+00  -5.148800E-02      YES
Date20040731  3.000000E-02  6.042580E-02  1.000000E+00  -3.042580E-02      YES
Date20040801  3.000000E-02  4.386130E-02  1.000000E+00  -1.386130E-02      YES
Date20040802  3.000000E-02  2.978820E-02  1.000000E+00  +2.118000E-04      YES
Date20040803  2.000000E-02  1.935150E-02  1.000000E+00  +6.485000E-04      YES
Date20040804  2.000000E-02  1.014900E-02  1.000000E+00  +9.851000E-03      YES
Date20040805  2.000000E-02  4.092590E-03  1.000000E+00  +1.590741E-02      YES
Date20040806  1.000000E-02  1.031780E-03  1.000000E+00  +8.968220E-03      YES
Date20040807  1.000000E-02  7.740590E-04  1.000000E+00  +9.225941E-03      YES
Date20040808  1.000000E-02  6.391050E-04  1.000000E+00  +9.360895E-03      YES
Date20040809  1.000000E-02  3.258290E-04  1.000000E+00  +9.674171E-03      YES
Date20040810  1.000000E-02  3.648230E-04  1.000000E+00  +9.635177E-03      YES
Date20040811  1.000000E-02  2.484480E-04  1.000000E+00  +9.751552E-03      YES
Date20040812  0.000000E+00  2.738980E-04  1.000000E+00  -2.738980E-04      YES
Date20040813  2.000000E-02  1.334980E-03  1.000000E+00  +1.866502E-02      YES
Date20040814  2.000000E-02  3.025790E-03  1.000000E+00  +1.697421E-02      YES
Date20040815  2.000000E-02  2.728150E-03  1.000000E+00  +1.727185E-02      YES
Date20040816  1.000000E-02  1.388980E-03  1.000000E+00  +8.611020E-03      YES
Date20040817  1.000000E-02  5.253380E-04  1.000000E+00  +9.474662E-03      YES
Date20040818  1.000000E-02  4.414160E-04  1.000000E+00  +9.558584E-03      YES
Date20040819  1.000000E-02  5.943380E-04  1.000000E+00  +9.405662E-03      YES
Date20040820  1.000000E-02  3.508390E-04  1.000000E+00  +9.649161E-03      YES
Date20040821  1.000000E-02  2.569650E-04  1.000000E+00  +9.743035E-03      YES
Date20040822  1.000000E-02  3.018410E-04  1.000000E+00  +9.698159E-03      YES
Date20040823  1.000000E-02  2.597090E-04  1.000000E+00  +9.740291E-03      YES
Date20040824  1.000000E-02  2.381090E-04  1.000000E+00  +9.761891E-03      YES
Date20040825  1.000000E-02  8.037980E-04  1.000000E+00  +9.196202E-03      YES
Date20040826  1.000000E-02  1.234840E-03  1.000000E+00  +8.765160E-03      YES
Date20040827  2.000000E-02  3.758190E-03  1.000000E+00  +1.624181E-02      YES
Date20040828  2.000000E-02  8.990060E-03  1.000000E+00  +1.100994E-02      YES
Date20040829  2.000000E-02  9.641260E-03  1.000000E+00  +1.035874E-02      YES
Date20040830  2.000000E-02  6.991690E-03  1.000000E+00  +1.300831E-02      YES
Date20040831  3.000000E-02  9.327560E-03  1.000000E+00  +2.067244E-02      YES
Date20040901  2.000000E-02  1.241340E-02  1.000000E+00  +7.586600E-03      YES
Date20040902  2.000000E-02  7.447980E-03  1.000000E+00  +1.255202E-02      YES
Date20040903  2.000000E-02  1.285060E-03  1.000000E+00  +1.871494E-02      YES
Date20040904  2.000000E-02  5.397930E-04  1.000000E+00  +1.946021E-02      YES
Date20040905  2.000000E-02  4.854030E-04  1.000000E+00  +1.951460E-02      YES
Date20040906  2.000000E-02  1.891450E-04  1.000000E+00  +1.981085E-02      YES
Date20040907  2.000000E-02  2.234450E-04  1.000000E+00  +1.977656E-02      YES
Date20040908  1.000000E-02  1.396330E-04  1.000000E+00  +9.860367E-03      YES
Date20040909  1.000000E-02  1.552720E-04  1.000000E+00  +9.844728E-03      YES
Date20040910  2.000000E-02  1.009560E-04  1.000000E+00  +1.989904E-02      YES
Date20040911  2.000000E-02  9.453470E-05  1.000000E+00  +1.990547E-02      YES
Date20040912  2.000000E-02  3.242020E-04  1.000000E+00  +1.967580E-02      YES
Date20040913  2.000000E-02  2.527760E-03  1.000000E+00  +1.747224E-02      YES
Date20040914  1.000000E-02  3.990030E-03  1.000000E+00  +6.009970E-03      YES
Date20040915  0.000000E+00  1.746760E-03  1.000000E+00  -1.746760E-03      YES
