time,date,hour,precip [mm/day],KS_53719235 [m3/s]
179,2001-06-29,00:00:00.00,2.1,0.0805718
180,2001-06-30,00:00:00.00,0,0.0630168
181,2001-07-01,00:00:00.00,5.1,0.0458625
182,2001-07-02,00:00:00.00,0,0.0436394
183,2001-07-03,00:00:00.00,0,0.035155
184,2001-07-04,00:00:00.00,0,0.029795
185,2001-07-05,00:00:00.00,0,0.0258706
186,2001-07-06,00:00:00.00,0,0.0224233
187,2001-07-07,00:00:00.00,0,0.0208682
188,2001-07-08,00:00:00.00,24.3,0.0348499
189,2001-07-09,00:00:00.00,4.2,0.0545864
190,2001-07-10,00:00:00.00,3.1,0.0464013
191,2001-07-11,00:00:00.00,0.2,0.0351087
192,2001-07-12,00:00:00.00,0.4,0.0328676
193,2001-07-13,00:00:00.00,0,0.0272463
194,2001-07-14,00:00:00.00,0,0.0242921
195,2001-07-15,00:00:00.00,0,0.024286
196,2001-07-16,00:00:00.00,15.5,0.031733
197,2001-07-17,00:00:00.00,9.7,0.0428137
198,2001-07-18,00:00:00.00,6.3,0.0503344
199,2001-07-19,00:00:00.00,1.3,0.0564992
200,2001-07-20,00:00:00.00,0,0.0523451
201,2001-07-21,00:00:00.00,21.7,0.0596334
202,2001-07-22,00:00:00.00,0,0.0833494
203,2001-07-23,00:00:00.00,0,0.0814528
204,2001-07-24,00:00:00.00,0,0.0698023
205,2001-07-25,00:00:00.00,0,0.059211
206,2001-07-26,00:00:00.00,0,0.0432754
207,2001-07-27,00:00:00.00,0,0.0380425
208,2001-07-28,00:00:00.00,0,0.0321853
209,2001-07-29,00:00:00.00,0,0.0277224
210,2001-07-30,00:00:00.00,2.3,0.025754
211,2001-07-31,00:00:00.00,0,0.022595
212,2001-08-01,00:00:00.00,3.9,0.0226017
213,2001-08-02,00:00:00.00,0,0.0222815
214,2001-08-03,00:00:00.00,0,0.0191729
215,2001-08-04,00:00:00.00,1.7,0.0158084
216,2001-08-05,00:00:00.00,9,0.0190414
217,2001-08-06,00:00:00.00,2,0.0231684
218,2001-08-07,00:00:00.00,1.6,0.0217416
219,2001-08-08,00:00:00.00,0,0.0180372
220,2001-08-09,00:00:00.00,0,0.0159769
221,2001-08-10,00:00:00.00,1,0.0138969
222,2001-08-11,00:00:00.00,0,0.0122112
223,2001-08-12,00:00:00.00,0,0.0108809
224,2001-08-13,00:00:00.00,0,0.0103049
225,2001-08-14,00:00:00.00,3.4,0.0112821
