time,date,hour,precip [mm/day],KS_53719235 [m3/s]
320,2001-11-17,00:00:00.00,0,0.43316
321,2001-11-18,00:00:00.00,0,0.415771
322,2001-11-19,00:00:00.00,1.3,0.375018
323,2001-11-20,00:00:00.00,2.1,0.376416
324,2001-11-21,00:00:00.00,0,0.357818
325,2001-11-22,00:00:00.00,2.3,0.351187
326,2001-11-23,00:00:00.00,14.4,0.442077
327,2001-11-24,00:00:00.00,0.7,0.590856
328,2001-11-25,00:00:00.00,0,0.588473
329,2001-11-26,00:00:00.00,2.2,0.544258
330,2001-11-27,00:00:00.00,6.8,0.590681
331,2001-11-28,00:00:00.00,1.5,0.643908
332,2001-11-29,00:00:00.00,4.9,0.67025
333,2001-11-30,00:00:00.00,7.5,0.737605
334,2001-12-01,00:00:00.00,0,0.801658
335,2001-12-02,00:00:00.00,0,0.756106
336,2001-12-03,00:00:00.00,0,0.689678
337,2001-12-04,00:00:00.00,0,0.64223
338,2001-12-05,00:00:00.00,6.2,0.633263
339,2001-12-06,00:00:00.00,14.3,0.77697
340,2001-12-07,00:00:00.00,14.3,1.06467
341,2001-12-08,00:00:00.00,0.5,1.24307
342,2001-12-09,00:00:00.00,0,1.18236
343,2001-12-10,00:00:00.00,0,1.07787
344,2001-12-11,00:00:00.00,3.6,1.00708
345,2001-12-12,00:00:00.00,7.6,0.977888
346,2001-12-13,00:00:00.00,7,1.03495
347,2001-12-14,00:00:00.00,0,1.05592
348,2001-12-15,00:00:00.00,0,0.985188
349,2001-12-16,00:00:00.00,2.7,0.905125
350,2001-12-17,00:00:00.00,2.7,0.838975
351,2001-12-18,00:00:00.00,2.4,0.774003
352,2001-12-19,00:00:00.00,0.8,0.715607
353,2001-12-20,00:00:00.00,13.9,0.661173
354,2001-12-21,00:00:00.00,2.8,0.610797
355,2001-12-22,00:00:00.00,12.5,0.56455
356,2001-12-23,00:00:00.00,7.1,0.521471
357,2001-12-24,00:00:00.00,0.5,0.481978
358,2001-12-25,00:00:00.00,3.2,0.44524
359,2001-12-26,00:00:00.00,0.4,0.450991
360,2001-12-27,00:00:00.00,2.1,0.500753
361,2001-12-28,00:00:00.00,5.4,0.507775
362,2001-12-29,00:00:00.00,5.2,0.584355
363,2001-12-30,00:00:00.00,13,0.736299
364,2001-12-31,00:00:00.00,9.2,0.724795
365,2002-01-01,00:00:00.00,5.3,0.645757
366,2002-01-02,00:00:00.00,3.5,0.608625
367,2002-01-03,00:00:00.00,1.8,0.557189
368,2002-01-04,00:00:00.00,0,0.516397
369,2002-01-05,00:00:00.00,0,0.477369
370,2002-01-06,00:00:00.00,0,0.440129
371,2002-01-07,00:00:00.00,6,0.407819
372,2002-01-08,00:00:00.00,0.7,0.37607
