trial    best fitness   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR   trials remaining
296   1.775148E+02  8.798279E-01  2.095629E-01  2.081462E-01  9.359724E+00  4.791376E+00  2.888531E+01  8.753913E-02  5.130901E+00  8.410371E-01  2.451044E+00  1.525478E+00  4.249039E-03  4.326574E-03  4.406972E-01  4.039031E-02  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.369293E-01  1.524000E+03
323   1.774716E+02  8.798279E-01  2.095629E-01  2.081462E-01  9.359724E+00  3.397437E+00  2.888531E+01  8.753913E-02  5.130901E+00  8.410371E-01  2.451044E+00  1.525478E+00  4.070662E-03  4.326574E-03  5.465602E-01  4.039031E-02  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.687933E-01  1.497000E+03
374   1.770305E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.359724E+00  3.397437E+00  2.888531E+01  8.753913E-02  5.130901E+00  9.572748E-01  2.451044E+00  1.525478E+00  4.070662E-03  4.326574E-03  5.465602E-01  4.039031E-02  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.687933E-01  1.446000E+03
379   1.768049E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  3.007678E+00  8.134422E-01  2.451044E+00  1.525478E+00  3.014524E-03  4.326574E-03  5.465602E-01  4.039031E-02  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.687933E-01  1.441000E+03
381   1.768049E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  3.007678E+00  8.134422E-01  2.451044E+00  1.525478E+00  3.014524E-03  4.143425E-03  5.465602E-01  4.039031E-02  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.687933E-01  1.439000E+03
393   1.768049E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  3.007678E+00  8.134422E-01  2.451044E+00  1.525478E+00  3.014524E-03  4.143425E-03  5.465602E-01  1.142043E-01  1.958521E+00  3.407381E+00  9.848037E-01  1.139478E-02  7.687933E-01  1.427000E+03
399   1.766453E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  3.007678E+00  8.134422E-01  2.451044E+00  1.714369E+00  3.014524E-03  4.143425E-03  7.073853E-01  1.142043E-01  1.979740E+00  3.407381E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.421000E+03
401   1.765972E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  3.007678E+00  8.134422E-01  2.451044E+00  1.714369E+00  3.014524E-03  4.143425E-03  8.775488E-01  1.142043E-01  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.419000E+03
413   1.762564E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.134422E-01  2.451044E+00  1.714369E+00  3.014524E-03  4.143425E-03  8.775488E-01  1.142043E-01  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.407000E+03
415   1.762564E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.134422E-01  2.451044E+00  1.714369E+00  3.014524E-03  4.143425E-03  9.458644E-01  1.142043E-01  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.405000E+03
