Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
32    3.184196E+02  6.794899E-01  4.152031E-01  2.081462E-01  4.227702E+00  3.327155E+00  3.903379E+02  1.931295E-01  1.486775E+00  6.033862E-01  1.005429E+00  2.292887E+00  3.237093E-03  5.054969E-03  5.428160E-01  7.680189E-01  1.981187E+00  3.454351E+00  9.338981E-01  6.656686E-01  8.216473E-01  
33    1.985405E+02  8.224043E-01  3.739907E-01  2.081462E-01  6.157678E+00  2.363090E+00  4.112557E+02  6.920468E-02  1.119599E+00  6.033862E-01  1.123663E+00  1.147161E-02  4.998565E-03  4.641417E-03  6.246677E-01  7.158719E-01  1.737449E+00  3.475020E+00  9.159893E-01  9.265599E-01  9.299270E-01  
34    1.604905E+08  8.224043E-01  2.978248E-01  7.722874E-01  8.412355E+00  3.202102E+00  4.574882E+02  6.920468E-02  1.701229E+00  6.033862E-01  1.525796E+00  2.801579E-01  4.566615E-03  4.912496E-03  7.255693E-01  6.801579E-01  1.887054E+00  3.475020E+00  7.324639E-01  9.265599E-01  9.761158E-01  
35    2.334671E+15  8.224043E-01  3.939478E-01  4.526906E-01  3.493669E+00  2.901859E+00  7.528079E+02  6.920468E-02  2.733466E+00  6.033862E-01  1.123663E+00  1.147161E-02  4.998565E-03  5.867940E-03  6.246677E-01  5.410851E-01  1.737449E+00  3.475020E+00  9.159893E-01  9.265599E-01  9.299270E-01  
36    2.146013E+02  8.224043E-01  3.163834E-01  9.242176E-02  8.789448E+00  1.801232E+00  4.112557E+02  1.081297E-01  2.485599E+00  2.036479E-01  1.085785E+00  1.239506E-02  4.998565E-03  4.884670E-03  6.246677E-01  6.963146E-01  1.737449E+00  3.459065E+00  8.703230E-01  9.265599E-01  9.299270E-01  
37    2.244546E+02  7.639942E-01  3.739907E-01  2.343004E-01  7.074110E+00  2.363090E+00  4.112557E+02  6.617589E-02  2.255413E+00  1.937714E-01  4.731391E-01  1.147161E-02  4.998565E-03  4.641417E-03  6.246677E-01  7.158719E-01  1.680336E+00  2.823562E+00  9.159893E-01  9.033247E-01  9.299270E-01  
38    1.958410E+02  8.798279E-01  4.640529E-01  2.081462E-01  6.157678E+00  2.363090E+00  4.112557E+02  6.920468E-02  1.119599E+00  6.033862E-01  4.858562E-01  1.147161E-02  4.245549E-03  4.902023E-03  6.246677E-01  6.260538E-01  1.802554E+00  3.475020E+00  9.159893E-01  9.265599E-01  9.026025E-01  
39    1.998082E+02  8.798279E-01  4.640529E-01  1.092936E-01  6.157678E+00  2.363090E+00  3.253749E+02  6.920468E-02  2.909161E+00  6.033862E-01  4.858562E-01  1.147161E-02  6.095907E-03  4.558895E-03  5.627465E-01  6.260538E-01  1.802554E+00  3.400996E+00  9.159893E-01  8.703513E-01  9.219982E-01  
40    5.745356E+02  8.798279E-01  4.640529E-01  4.618464E-02  6.157678E+00  2.892244E+00  4.112557E+02  3.967865E-01  1.119599E+00  4.832699E-01  2.872598E-01  2.969619E-02  4.245549E-03  5.228569E-03  7.276141E-01  6.260538E-01  1.802554E+00  3.475020E+00  8.068181E-01  9.265599E-01  8.229888E-01  
41    1.963363E+02  8.798279E-01  4.640529E-01  2.081462E-01  6.157678E+00  2.444282E+00  4.112557E+02  6.920468E-02  1.119599E+00  5.849830E-01  4.858562E-01  7.249146E-02  3.862953E-03  4.902023E-03  6.246677E-01  5.074751E-01  1.802554E+00  3.436936E+00  9.159893E-01  7.290231E-01  9.026025E-01  
42    2.127908E+02  8.984580E-01  5.009963E-01  1.399969E-01  6.157678E+00  2.363090E+00  2.535292E+00  6.920468E-02  1.119599E+00  3.837645E-01  6.200444E-01  1.147161E-02  4.245549E-03  5.625498E-03  6.246677E-01  9.547796E-01  1.802554E+00  2.773538E+00  9.159893E-01  9.265599E-01  9.026025E-01  
43    2.582874E+02  5.768344E-01  4.640529E-01  2.081462E-01  4.433114E+00  2.363090E+00  4.112557E+02  2.499254E-02  4.004990E+00  6.033862E-01  4.143014E-01  3.174139E-01  4.133827E-03  5.647035E-03  6.246677E-01  6.260538E-01  1.802554E+00  3.227954E+00  9.159893E-01  5.218101E-01  8.779766E-01  
44    2.224378E+02  8.734249E-01  4.640529E-01  1.081946E-01  7.674553E+00  4.997545E-02  4.966587E+02  1.194963E-01  2.424161E+00  7.677373E-01  4.858562E-01  1.127421E+00  4.950064E-03  5.638323E-03  6.504028E-01  4.886560E-01  1.802554E+00  3.167862E+00  9.159893E-01  5.714111E-01  7.334472E-01  
45    1.937020E+02  8.798279E-01  2.095629E-01  2.081462E-01  3.359827E+00  2.363090E+00  4.112557E+02  6.920468E-02  1.119599E+00  6.033862E-01  4.858562E-01  1.147161E-02  3.250443E-03  4.902023E-03  5.312538E-01  6.854311E-01  1.878824E+00  3.431890E+00  9.400193E-01  9.324424E-01  9.042987E-01  
46    2.427473E+02  6.200684E-01  2.795763E-01  2.604899E-01  3.359827E+00  2.363090E+00  5.294116E+02  9.242036E-02  1.119599E+00  6.033862E-01  6.103117E-01  1.147161E-02  3.250443E-03  4.000719E-03  5.312538E-01  6.854311E-01  1.895343E+00  2.982115E+00  9.400193E-01  9.324424E-01  6.985796E-01  
47    2.003074E+02  8.798279E-01  2.810367E-01  2.081462E-01  3.359827E+00  2.363090E+00  4.112557E+02  1.107057E-01  1.119599E+00  8.122966E-01  4.858562E-01  1.147161E-02  3.250443E-03  4.902023E-03  6.143862E-01  8.564903E-01  1.918350E+00  3.344457E+00  9.400193E-01  9.324424E-01  7.983242E-01  
48    2.131750E+02  7.698802E-01  2.095629E-01  2.081462E-01  3.359827E+00  2.363090E+00  4.112557E+02  6.920468E-02  1.119599E+00  9.279609E-01  4.858562E-01  1.147161E-02  3.250443E-03  4.660539E-03  6.694183E-01  3.908698E-01  1.878824E+00  2.858553E+00  9.748420E-01  8.992431E-01  9.458436E-01  
49    2.050974E+12  8.490316E-01  1.709309E-02  5.208438E-01  3.359827E+00  2.363090E+00  3.674908E+02  6.920468E-02  2.552981E+00  6.033862E-01  4.858562E-01  1.147161E-02  3.250443E-03  4.902023E-03  5.312538E-01  6.854311E-01  1.878824E+00  3.431890E+00  9.199314E-01  9.324424E-01  9.572818E-01  
50    2.342967E+02  8.926155E-01  2.095629E-01  2.081462E-01  8.679440E-01  3.267563E+00  3.103480E+02  1.287417E-01  1.119599E+00  7.578385E-01  4.858562E-01  1.199134E-01  3.250443E-03  4.902023E-03  6.588565E-01  6.854311E-01  1.996147E+00  3.431890E+00  9.400193E-01  9.324424E-01  8.714474E-01  
51    2.139255E+02  6.482234E-01  2.095629E-01  2.081462E-01  4.434717E+00  2.879203E+00  5.436394E+02  6.920468E-02  2.028777E+00  6.033862E-01  1.595513E-01  1.381954E-01  3.250443E-03  4.902023E-03  5.312538E-01  8.795948E-01  1.878824E+00  3.387426E+00  9.400193E-01  7.410913E-01  7.925592E-01  
52    2.044517E+02  8.798279E-01  2.095629E-01  2.081462E-01  3.321305E+00  2.363090E+00  1.828443E+02  6.920468E-02  1.119599E+00  6.033862E-01  7.582817E-01  1.147161E-02  3.852122E-03  5.237343E-03  5.312538E-01  6.854311E-01  1.878824E+00  3.431890E+00  8.373255E-01  9.734424E-01  9.042987E-01  
53    1.869249E+02  8.798279E-01  2.095629E-01  2.081462E-01  5.943266E+00  3.871965E+00  1.496577E+02  6.920468E-02  1.915669E+00  6.033862E-01  4.858562E-01  1.147161E-02  3.619421E-03  4.902023E-03  5.312538E-01  6.928155E-01  1.893507E+00  3.431890E+00  9.841252E-01  9.324424E-01  9.042987E-01  
54    2.062139E+02  8.798279E-01  2.095629E-01  2.081462E-01  5.943266E+00  4.901723E+00  1.496577E+02  6.920468E-02  1.915669E+00  7.136929E-01  8.027847E-01  1.147161E-02  3.467083E-03  4.902023E-03  8.390696E-01  6.071940E-01  1.893507E+00  2.701622E+00  9.841252E-01  9.279052E-01  9.667790E-01  
55    1.284340E+10  7.633276E-01  2.095629E-01  2.907526E-01  7.259525E+00  2.646164E+00  3.909746E+01  4.433490E-02  1.915669E+00  6.033862E-01  6.167057E-01  1.147161E-02  3.795668E-03  4.902023E-03  5.312538E-01  5.852078E-01  1.893507E+00  2.489127E+00  9.273099E-01  9.324424E-01  9.042987E-01  
56    2.049906E+02  7.148621E-01  1.776006E-01  1.090185E-01  5.943266E+00  3.160792E+00  1.279139E+02  6.920468E-02  1.910401E+00  6.033862E-01  4.858562E-01  1.096695E-01  4.104168E-03  5.253446E-03  2.445634E-01  6.928155E-01  1.788237E+00  3.431890E+00  9.440975E-01  8.976177E-01  7.446730E-01  
57    1.867011E+02  8.798279E-01  2.095629E-01  2.081462E-01  7.967621E+00  3.871965E+00  5.310548E+02  6.920468E-02  1.930436E+00  6.033862E-01  1.906489E+00  1.152611E-01  3.727469E-03  4.039266E-03  8.572215E-01  5.781906E-01  1.804880E+00  3.431890E+00  9.841252E-01  9.324424E-01  9.778603E-01  
58    2.410101E+02  6.867027E-01  2.095629E-01  2.081462E-01  7.967621E+00  2.664146E+00  5.310548E+02  1.396273E-01  1.487036E+00  6.856419E-01  1.906489E+00  2.029516E-01  3.727469E-03  5.455096E-03  8.049541E-01  5.781906E-01  1.804880E+00  3.431890E+00  9.841252E-01  9.324424E-01  8.539552E-01  
59    5.859725E+07  8.798279E-01  2.106003E-02  2.081462E-01  7.967621E+00  3.871965E+00  4.533139E+02  6.920468E-02  1.413433E+00  6.033862E-01  1.978288E+00  1.152611E-01  3.727469E-03  2.615903E-03  8.572215E-01  5.781906E-01  1.804880E+00  3.431890E+00  9.821483E-01  9.888028E-01  9.778603E-01  
60    1.907933E+02  7.961518E-01  2.095629E-01  2.081462E-01  8.854710E+00  1.641762E+00  6.695354E+02  6.920468E-02  1.793090E+00  6.473210E-01  1.354197E+00  1.152611E-01  3.727469E-03  4.039266E-03  9.926155E-01  4.858132E-01  1.995147E+00  3.431890E+00  9.841252E-01  7.692176E-01  9.778603E-01  
61    1.542448E+11  8.798279E-01  1.721171E-02  2.081462E-01  7.967621E+00  4.364504E+00  5.310548E+02  6.920468E-02  2.055494E+00  1.033244E-01  1.250564E+00  1.152611E-01  3.727469E-03  3.368941E-03  8.572215E-01  5.781906E-01  1.804880E+00  3.124312E+00  9.338160E-01  7.222249E-01  9.272378E-01  
62    5.429424E+09  5.628622E-01  2.095629E-01  4.271759E-01  7.734767E+00  3.597629E+00  6.339779E+02  6.920468E-02  1.930436E+00  6.612324E-01  1.906489E+00  2.051031E-01  3.018400E-03  3.467762E-03  8.572215E-01  6.053673E-01  1.839757E+00  3.431890E+00  9.841252E-01  7.620371E-01  9.672210E-01  
63    1.856541E+02  8.798279E-01  2.095629E-01  2.081462E-01  7.967621E+00  4.800102E+00  5.310548E+02  6.920468E-02  1.144891E+00  6.033862E-01  2.625325E+00  6.172596E-01  3.727469E-03  4.039266E-03  8.572215E-01  5.781906E-01  1.917417E+00  3.435880E+00  9.841252E-01  7.425452E-01  8.204221E-01  
64    2.399331E+14  8.798279E-01  1.577457E-01  2.081462E-01  7.967621E+00  4.800102E+00  5.348223E+02  2.491656E-01  2.351763E+00  6.917515E-01  2.848374E+00  1.704673E+00  3.727469E-03  4.039266E-03  8.572215E-01  5.781906E-01  1.917417E+00  3.427242E+00  9.503551E-01  6.434767E-01  8.176327E-01  
65    1.938459E+02  7.866829E-01  1.642208E-01  8.304701E-02  5.852272E+00  4.967287E+00  5.310548E+02  6.920468E-02  1.144891E+00  4.098528E-01  2.664674E+00  6.172596E-01  3.281574E-03  4.039266E-03  8.572215E-01  6.028526E-01  1.917417E+00  3.435880E+00  9.841252E-01  7.425452E-01  8.204221E-01  
