Run   obj.function   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR  
27    4.150505E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.635584E+00  8.380946E-01  7.002326E-01  1.204353E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.074508E+00  9.000000E-01  1.000000E+00  7.583600E-01  
28    4.174373E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.635584E+00  8.095744E-01  7.018293E-01  1.224506E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.082406E+00  9.000000E-01  1.000000E+00  7.583600E-01  
29    4.122978E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.635584E+00  8.665998E-01  6.981698E-01  1.183495E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.067811E+00  9.000000E-01  1.000000E+00  7.583600E-01  
30    2.967672E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.456830E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
31    4.293582E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.645583E+00  8.388666E-01  6.943110E-01  1.237464E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.324279E+00  1.031542E+00  9.000000E-01  1.000000E+00  7.583600E-01  
32    4.320954E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.645583E+00  8.111641E-01  6.957752E-01  1.257226E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.332449E+00  1.036139E+00  9.000000E-01  1.000000E+00  7.583600E-01  
33    4.263190E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.645583E+00  8.666541E-01  6.924366E-01  1.216965E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.315965E+00  1.027779E+00  9.000000E-01  1.000000E+00  7.583600E-01  
34    2.964352E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.556820E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
35    4.080250E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.655582E+00  8.577597E-01  7.052143E-01  1.208138E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.116774E+00  9.000000E-01  1.000000E+00  7.583600E-01  
36    4.095769E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.655582E+00  8.313996E-01  7.065446E-01  1.226396E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.127513E+00  9.000000E-01  1.000000E+00  7.583600E-01  
37    4.060978E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.655582E+00  8.842631E-01  7.034964E-01  1.189107E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.107291E+00  9.000000E-01  1.000000E+00  7.583600E-01  
38    2.961136E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.656810E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
39    4.082336E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.665581E+00  8.530725E-01  7.074016E-01  1.236763E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.145465E+00  9.000000E-01  1.000000E+00  7.583600E-01  
40    4.093298E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.665581E+00  8.268321E-01  7.083652E-01  1.254630E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.158324E+00  9.000000E-01  1.000000E+00  7.583600E-01  
41    4.067581E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.665581E+00  8.795021E-01  7.060736E-01  1.218108E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.133926E+00  9.000000E-01  1.000000E+00  7.583600E-01  
42    2.958021E+02  4.981200E-01  1.177700E-01  0.000000E+00  6.756800E-01  1.121600E+00  0.000000E+00  5.000000E-02  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  5.000000E-02  5.000000E-02  3.133900E+00  1.303600E+00  1.000000E+00  1.000000E+00  6.583600E-01  
43    4.171105E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.675580E+00  8.578677E-01  7.031383E-01  1.242473E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.099605E+00  9.000000E-01  1.000000E+00  7.583600E-01  
44    4.184828E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.675580E+00  8.324036E-01  7.039770E-01  1.259323E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.109776E+00  9.000000E-01  1.000000E+00  7.583600E-01  
45    4.154201E+02  5.773200E-01  2.175700E-01  0.000000E+00  1.675580E+00  8.835730E-01  7.019727E-01  1.224802E-01  1.000000E+00  0.000000E+00  1.625930E+01  6.676300E+00  5.000000E-02  5.000000E-02  3.200000E-02  6.800000E-02  3.333900E+00  1.090427E+00  9.000000E-01  1.000000E+00  7.583600E-01  
