time,date,hour,precip [mm/day],KS_53719235 [m3/s]
330,2001-11-27,00:00:00.00,6.8,0.495174
331,2001-11-28,00:00:00.00,1.5,0.585622
332,2001-11-29,00:00:00.00,4.9,0.585918
333,2001-11-30,00:00:00.00,7.5,0.681986
334,2001-12-01,00:00:00.00,0,0.755367
335,2001-12-02,00:00:00.00,0,0.590951
336,2001-12-03,00:00:00.00,0,0.437047
337,2001-12-04,00:00:00.00,0,0.384745
338,2001-12-05,00:00:00.00,6.2,0.422714
339,2001-12-06,00:00:00.00,14.3,0.764788
340,2001-12-07,00:00:00.00,14.3,1.31573
341,2001-12-08,00:00:00.00,0.5,1.45194
342,2001-12-09,00:00:00.00,0,1.08949
343,2001-12-10,00:00:00.00,0,0.799164
344,2001-12-11,00:00:00.00,3.6,0.71264
345,2001-12-12,00:00:00.00,7.6,0.7666
346,2001-12-13,00:00:00.00,7,0.980591
347,2001-12-14,00:00:00.00,0,1.05666
348,2001-12-15,00:00:00.00,0,0.832266
349,2001-12-16,00:00:00.00,2.7,0.640705
350,2001-12-17,00:00:00.00,2.7,0.559897
351,2001-12-18,00:00:00.00,2.4,0.480732
352,2001-12-19,00:00:00.00,0.8,0.422882
353,2001-12-20,00:00:00.00,13.9,0.374437
354,2001-12-21,00:00:00.00,2.8,0.329435
355,2001-12-22,00:00:00.00,12.5,0.29397
356,2001-12-23,00:00:00.00,7.1,0.259884
357,2001-12-24,00:00:00.00,0.5,0.230502
358,2001-12-25,00:00:00.00,3.2,0.203578
359,2001-12-26,00:00:00.00,0.4,0.274782
360,2001-12-27,00:00:00.00,2.1,0.416224
361,2001-12-28,00:00:00.00,5.4,0.454154
362,2001-12-29,00:00:00.00,5.2,0.65787
363,2001-12-30,00:00:00.00,13,0.906575
364,2001-12-31,00:00:00.00,9.2,0.711441
365,2002-01-01,00:00:00.00,5.3,0.478279
366,2002-01-02,00:00:00.00,3.5,0.428395
367,2002-01-03,00:00:00.00,1.8,0.35318
368,2002-01-04,00:00:00.00,0,0.311331
369,2002-01-05,00:00:00.00,0,0.275361
370,2002-01-06,00:00:00.00,0,0.239959
371,2002-01-07,00:00:00.00,6,0.216076
372,2002-01-08,00:00:00.00,0.7,0.2171
373,2002-01-09,00:00:00.00,0,0.234979
374,2002-01-10,00:00:00.00,0,0.200349
375,2002-01-11,00:00:00.00,0,0.161268
376,2002-01-12,00:00:00.00,0,0.143637
377,2002-01-13,00:00:00.00,5.8,0.124923
378,2002-01-14,00:00:00.00,0,0.110206
379,2002-01-15,00:00:00.00,0,0.0974993
380,2002-01-16,00:00:00.00,0,0.0861379
381,2002-01-17,00:00:00.00,0.3,0.076522
382,2002-01-18,00:00:00.00,0,0.0676762
383,2002-01-19,00:00:00.00,0,0.0607808
384,2002-01-20,00:00:00.00,2.1,0.212373
385,2002-01-21,00:00:00.00,6.5,0.834462
386,2002-01-22,00:00:00.00,2.4,1.95179
387,2002-01-23,00:00:00.00,0,2.80774
388,2002-01-24,00:00:00.00,0,3.22991
389,2002-01-25,00:00:00.00,2.6,3.40853
390,2002-01-26,00:00:00.00,2.8,3.02726
391,2002-01-27,00:00:00.00,1.2,2.42748
392,2002-01-28,00:00:00.00,8.7,2.24504
393,2002-01-29,00:00:00.00,5.8,2.36517
394,2002-01-30,00:00:00.00,0,2.16995
395,2002-01-31,00:00:00.00,0,1.73798
396,2002-02-01,00:00:00.00,0,1.46331
397,2002-02-02,00:00:00.00,0,1.2839
398,2002-02-03,00:00:00.00,0,1.12588
399,2002-02-04,00:00:00.00,0,1.00048
400,2002-02-05,00:00:00.00,0,0.880362
401,2002-02-06,00:00:00.00,0.7,0.792168
402,2002-02-07,00:00:00.00,0.7,0.734586
403,2002-02-08,00:00:00.00,1.6,0.69433
404,2002-02-09,00:00:00.00,0.9,0.662531
405,2002-02-10,00:00:00.00,6.4,0.715995
406,2002-02-11,00:00:00.00,3.8,0.857964
407,2002-02-12,00:00:00.00,1.2,0.852532
408,2002-02-13,00:00:00.00,19.4,1.14724
409,2002-02-14,00:00:00.00,0.7,1.61182
410,2002-02-15,00:00:00.00,0,1.30151
411,2002-02-16,00:00:00.00,0,0.894242
412,2002-02-17,00:00:00.00,0,0.811471
413,2002-02-18,00:00:00.00,0,0.671291
414,2002-02-19,00:00:00.00,0,0.593013
415,2002-02-20,00:00:00.00,11.6,0.756377
416,2002-02-21,00:00:00.00,13.8,1.36764
417,2002-02-22,00:00:00.00,3.1,1.62535
418,2002-02-23,00:00:00.00,13,1.44109
419,2002-02-24,00:00:00.00,10.8,1.72824
420,2002-02-25,00:00:00.00,5.9,1.79127
421,2002-02-26,00:00:00.00,10.6,1.59811
422,2002-02-27,00:00:00.00,2.7,2.19071
423,2002-02-28,00:00:00.00,7.7,2.74458
424,2002-03-01,00:00:00.00,1.5,2.40949
425,2002-03-02,00:00:00.00,0,1.87166
426,2002-03-03,00:00:00.00,0,1.53205
427,2002-03-04,00:00:00.00,0.8,1.32091
428,2002-03-05,00:00:00.00,0,1.18323
429,2002-03-06,00:00:00.00,0,1.03656
430,2002-03-07,00:00:00.00,0,0.907516
431,2002-03-08,00:00:00.00,7.7,0.9586
432,2002-03-09,00:00:00.00,0,1.06087
433,2002-03-10,00:00:00.00,0,0.901163
434,2002-03-11,00:00:00.00,0,0.710658
435,2002-03-12,00:00:00.00,0,0.638405
436,2002-03-13,00:00:00.00,0,0.552806
437,2002-03-14,00:00:00.00,2,0.522154
438,2002-03-15,00:00:00.00,4,0.569437
439,2002-03-16,00:00:00.00,0,0.574268
440,2002-03-17,00:00:00.00,0,0.474571
441,2002-03-18,00:00:00.00,0,0.393032
442,2002-03-19,00:00:00.00,2.9,0.397088
443,2002-03-20,00:00:00.00,4.9,0.464079
444,2002-03-21,00:00:00.00,7.8,0.609533
445,2002-03-22,00:00:00.00,3.2,0.719541
446,2002-03-23,00:00:00.00,3.6,0.710092
447,2002-03-24,00:00:00.00,10.8,0.670843
448,2002-03-25,00:00:00.00,4.3,0.589373
449,2002-03-26,00:00:00.00,0.5,0.469613
450,2002-03-27,00:00:00.00,0,0.397227
451,2002-03-28,00:00:00.00,0,0.347631
452,2002-03-29,00:00:00.00,0,0.343215
453,2002-03-30,00:00:00.00,0,0.531938
454,2002-03-31,00:00:00.00,0,0.720465
455,2002-04-01,00:00:00.00,0,0.602793
456,2002-04-02,00:00:00.00,0,0.437525
457,2002-04-03,00:00:00.00,0,0.38301
458,2002-04-04,00:00:00.00,0,0.323639
459,2002-04-05,00:00:00.00,0,0.28486
460,2002-04-06,00:00:00.00,0,0.250689
461,2002-04-07,00:00:00.00,0,0.218832
462,2002-04-08,00:00:00.00,0,0.196999
463,2002-04-09,00:00:00.00,0,0.176896
464,2002-04-10,00:00:00.00,0,0.159132
465,2002-04-11,00:00:00.00,0,0.138674
466,2002-04-12,00:00:00.00,0,0.124059
467,2002-04-13,00:00:00.00,0,0.109163
468,2002-04-14,00:00:00.00,2.3,0.111633
469,2002-04-15,00:00:00.00,22.9,0.277778
470,2002-04-16,00:00:00.00,5.4,0.513205
471,2002-04-17,00:00:00.00,0,0.488791
472,2002-04-18,00:00:00.00,0,0.345195
473,2002-04-19,00:00:00.00,0,0.286456
474,2002-04-20,00:00:00.00,1.9,0.261084
475,2002-04-21,00:00:00.00,0,0.253915
476,2002-04-22,00:00:00.00,0,0.217028
477,2002-04-23,00:00:00.00,0,0.17959
478,2002-04-24,00:00:00.00,0.2,0.172826
479,2002-04-25,00:00:00.00,0,0.157532
480,2002-04-26,00:00:00.00,0,0.133674
481,2002-04-27,00:00:00.00,3.5,0.142385
482,2002-04-28,00:00:00.00,1.9,0.17332
483,2002-04-29,00:00:00.00,0,0.154644
484,2002-04-30,00:00:00.00,2.1,0.13268
485,2002-05-01,00:00:00.00,0,0.135297
486,2002-05-02,00:00:00.00,0,0.121265
487,2002-05-03,00:00:00.00,0.5,0.108792
488,2002-05-04,00:00:00.00,0,0.0941646
489,2002-05-05,00:00:00.00,1.2,0.0830554
490,2002-05-06,00:00:00.00,16.3,0.152676
491,2002-05-07,00:00:00.00,1.2,0.233661
492,2002-05-08,00:00:00.00,0,0.187666
493,2002-05-09,00:00:00.00,0,0.138639
494,2002-05-10,00:00:00.00,0,0.137654
495,2002-05-11,00:00:00.00,0.4,0.113161
496,2002-05-12,00:00:00.00,1.7,0.10828
497,2002-05-13,00:00:00.00,1.6,0.108341
498,2002-05-14,00:00:00.00,0,0.0978725
499,2002-05-15,00:00:00.00,0,0.0908249
500,2002-05-16,00:00:00.00,0,0.0819295
501,2002-05-17,00:00:00.00,0,0.0784583
502,2002-05-18,00:00:00.00,0,0.0755484
503,2002-05-19,00:00:00.00,0,0.0640038
504,2002-05-20,00:00:00.00,4,0.06161
505,2002-05-21,00:00:00.00,0,0.0730204
506,2002-05-22,00:00:00.00,0,0.0682285
507,2002-05-23,00:00:00.00,0,0.0538197
508,2002-05-24,00:00:00.00,6.5,0.0644674
509,2002-05-25,00:00:00.00,0.2,0.0781198
510,2002-05-26,00:00:00.00,10.9,0.0854169
511,2002-05-27,00:00:00.00,1.3,0.104258
512,2002-05-28,00:00:00.00,5.3,0.103356
513,2002-05-29,00:00:00.00,5.1,0.106316
514,2002-05-30,00:00:00.00,0,0.10629
515,2002-05-31,00:00:00.00,0.6,0.0851971
516,2002-06-01,00:00:00.00,0,0.079362
517,2002-06-02,00:00:00.00,0,0.0728187
518,2002-06-03,00:00:00.00,0,0.0663657
519,2002-06-04,00:00:00.00,0,0.0632201
520,2002-06-05,00:00:00.00,0,0.0602197
521,2002-06-06,00:00:00.00,0.9,0.0595082
522,2002-06-07,00:00:00.00,2,0.0517695
523,2002-06-08,00:00:00.00,33.5,0.0973066
524,2002-06-09,00:00:00.00,18.4,0.198035
525,2002-06-10,00:00:00.00,1,0.216156
526,2002-06-11,00:00:00.00,11.9,0.228179
527,2002-06-12,00:00:00.00,0,0.280508
528,2002-06-13,00:00:00.00,0,0.234291
529,2002-06-14,00:00:00.00,4.7,0.198664
530,2002-06-15,00:00:00.00,1.6,0.212929
531,2002-06-16,00:00:00.00,8.6,0.23296
532,2002-06-17,00:00:00.00,0,0.25695
533,2002-06-18,00:00:00.00,0,0.203298
534,2002-06-19,00:00:00.00,0,0.163605
